module_type,rule_id,rule_type,features,direction,location_constraint,weight,notes
Phage ssDNA replication,SSR-01,boundary_5,f1 ori | M13 ori,either,standalone_module,0.95,"f1/M13 intergenic region (IG) — the origin of rolling-circle replication. Direction determines which strand is packaged. ~450 bp. Requires helper phage (M13K07, VCS-M13) for pIII protein in trans."
Phage ssDNA replication,SSR-02,presence,M13 gene II,forward,within:2000_bp_of:f1 ori,0.85,"gene II protein nicks the (+) strand to initiate rolling-circle replication. If present on the plasmid itself, the plasmid is self-sufficient for ssDNA production."
Phage ssDNA replication,SSR-03,presence,M13 gene V | M13 gene X,forward,n/a,0.7,gene V (ssDNA binding) and gene X (rolling-circle) proteins; supporting for M13-based ssDNA production.
Phage ssDNA replication,SSR-04,boundary_5_alt,N15 ori,forward,standalone_module,0.95,N15 linear plasmid origin — used in linear BAC systems with telN protelomerase to generate linear closed-end plasmids.
Yeast episomal replication (2μ),YR-EP-01,boundary_5,2μ ori | 2micron origin | 2micron2 origin,either,standalone_module,0.97,"S. cerevisiae 2-micron plasmid origin — high-copy (~20-40 copies), stable via FLP/FRT amplification system. Used in high-expression yeast vectors (YEp-series)."
Yeast episomal replication (2μ),YR-EP-02,presence,FLP | FLPe | FLPo | FLP recombinase,forward,within:2μ region,0.5,FLP recombinase is part of the 2μ copy number amplification machinery. Often present in natural 2μ but stripped from minimal yeast shuttles.
Yeast ARS/CEN replication (low-copy),YR-CEN-01,boundary_5,CEN/ARS | CEN6 ARS4 | CEN4,either,standalone_module,0.98,CEN (centromere) + ARS (autonomously replicating sequence) — gives low-copy (1-2 copies) stable mitotic inheritance. Used in YCp-series vectors for stoichiometric expression studies.
Yeast ARS/CEN replication (low-copy),YR-CEN-02,boundary_5_alt,ARS1 | ars1,forward,standalone_module,0.75,ARS1 alone — higher copy but unstable without CEN; used in YRp-series vectors which are rapidly lost without selection.
S. pombe replication,YR-SP-01,boundary_5,ars1,forward,standalone_module,0.8,S. pombe ars1; used in pREP/pDUAL vectors for fission yeast.
Pichia/Kluyveromyces replication,YR-PP-01,boundary_5,AMA1,forward,standalone_module,0.9,Autonomously maintained in Aspergillus/Pichia; enables episomal propagation in filamentous fungi and some yeasts.
Mammalian episomal replication (SV40),MR-SV-01,presence_all,SV40 promoter + SV40 ori,forward,order:promoter->ori; adjacent; distance:0-50_bp,0.97,"SV40 promoter immediately followed by SV40 ori is the SV40 replication+early expression module. The ori overlaps with the promoter TATA box region. In T-antigen-expressing cells (COS-1, COS-7) the plasmid replicates to high copy number."
Mammalian episomal replication (SV40),MR-SV-02,boundary_5_alt,SV40 ori,either,standalone_module,0.75,SV40 ori alone (~180 bp) is sufficient for replication in T-antigen-expressing cells; weight is lower because it's often included without intent to replicate (as a marker of vector lineage).
Mammalian episomal replication (SV40),MR-SV-03,presence,large T antigen | small t antigen,forward,standalone,0.9,"If large T antigen is encoded on the same plasmid (not just the host), the plasmid is self-sufficient for SV40 replication in any cell type. Rare but diagnostic when present."
Mammalian episomal replication (EBV oriP),MR-EBV-01,presence_all,oriP + EBNA1,forward,standalone_module,0.97,"EBV oriP paired with EBNA1 gives stable episomal maintenance in human cells (1-10 copies/cell) over many divisions. Used in pCEP4, pREP-series, and iPSC reprogramming vectors."
Mammalian episomal replication (EBV oriP),MR-EBV-02,boundary_5,oriP | mini-oriP,forward,standalone_module,0.9,oriP alone requires EBNA1 in trans (host-provided or separate plasmid). mini-oriP lacks the family-of-repeats enhancer and is smaller but still functional with EBNA1.
Mammalian episomal replication (polyomavirus),MR-PV-01,presence,BK virus ori | BKV ori | polyoma ori,forward,standalone_module,0.9,"BK polyomavirus origin — alternative to SV40 ori, used in some human-cell episomal systems. Not present in the reference CSV; rule included for completeness."
Bacterial selection (antibiotic),SEL-AB-01,boundary_5,bla promoter | AmpR promoter | cat promoter,forward,upstream_of:resistance_CDS,0.9,"Constitutive promoters native to the resistance gene (beta-lactamase, chloramphenicol acetyltransferase). Often unannotated when the marker is the default, but when present they clearly mark the module."
Bacterial selection (antibiotic),SEL-AB-02,presence,AmpR | bla,forward,CDS,0.97,β-lactamase — confers ampicillin/carbenicillin resistance. The default E. coli selection marker. ~860 bp CDS.
Bacterial selection (antibiotic),SEL-AB-03,boundary_5_alt,AmpR promoter,forward,upstream_of:AmpR,0.95,The native AmpR promoter is small and unregulated; typically directly upstream of the bla ORF.
Bacterial selection (antibiotic),SEL-AB-04,presence,KanR | NeoR/KanR,forward,CDS,0.97,Neomycin phosphotransferase (aph(3')-II or aph(3')-Ia) — kanamycin resistance in bacteria AND G418/neomycin resistance in eukaryotes when driven by a mammalian promoter. Dual-use marker.
Bacterial selection (antibiotic),SEL-AB-05,presence,CmR,forward,CDS,0.97,Chloramphenicol acetyltransferase — chloramphenicol resistance. Small (~660 bp). Common in BACs and low-copy vectors.
Bacterial selection (antibiotic),SEL-AB-06,presence,TcR,forward,CDS,0.95,Tetracycline efflux pump — tetracycline resistance. Large module (~1.2 kb) because tetA is a membrane protein.
Bacterial selection (antibiotic),SEL-AB-07,presence,SmR | SpR,forward,CDS,0.95,Streptomycin / spectinomycin resistance (aadA). Common in plant and Agrobacterium vectors.
Bacterial selection (antibiotic),SEL-AB-08,presence,GmR | ApmR,forward,CDS,0.95,Gentamicin / apramycin resistance — aminoglycoside acetyltransferase variants. Used in broad-host-range vectors.
Bacterial selection (antibiotic),SEL-AB-09,presence,HygR,forward,CDS,0.95,"Hygromycin phosphotransferase — works in bacteria, plants, and mammalian cells depending on promoter."
Bacterial selection (antibiotic),SEL-AB-10,presence,ZeoR | BleoR,forward,CDS,0.95,"Sh ble — zeocin/bleomycin/phleomycin resistance. Works across bacteria, yeast, plants, and mammalian cells with appropriate promoters — a true universal marker."
Bacterial selection (antibiotic),SEL-AB-11,presence,NrsR | BlpR,forward,CDS,0.9,Nourseothricin / bialaphos resistance — used primarily in yeast and fungi.
Bacterial selection (antibiotic),SEL-AB-12,boundary_3,AmpR terminator | bacterial terminator,forward,downstream_of:resistance_CDS,0.6,Many bacterial selection cassettes lack explicit terminators and rely on read-through into plasmid backbone — terminator absence is not a disqualifier.
Yeast auxotrophic selection,SEL-YX-01,presence_all,[URA3 promoter] + URA3,forward,adjacent; standalone_module,0.97,URA3 complements ura3- hosts; module includes native promoter and terminator. Can be counter-selected with 5-FOA.
Yeast auxotrophic selection,SEL-YX-02,presence_all,[LEU2 promoter] + LEU2,forward,adjacent; standalone_module,0.97,LEU2 complements leu2- hosts.
Yeast auxotrophic selection,SEL-YX-03,presence_all,[HIS3 promoter] + HIS3 | HIS3MX6,forward,adjacent; standalone_module,0.97,HIS3 for S. cerevisiae histidine auxotrophy. HIS3MX6 is the heterologous-promoter cassette version used for tagging.
Yeast auxotrophic selection,SEL-YX-04,presence_all,[TRP1 promoter] + TRP1,forward,adjacent; standalone_module,0.97,TRP1 complements trp1- hosts.
Yeast auxotrophic selection,SEL-YX-05,presence_all,[LYS2 promoter] + LYS2 | [ADE2 promoter] + ADE2 | [MET17 promoter] + MET17,forward,adjacent; standalone_module,0.95,Other auxotrophic markers. ADE2 gives a color phenotype (red on limited adenine) useful for colony screening.
Yeast auxotrophic selection,SEL-YX-06,presence,S. pombe his3 | S. pombe his5 | S. pombe ura4,forward,standalone_module,0.95,S. pombe-specific auxotrophic markers.
Yeast auxotrophic selection,SEL-YX-07,presence,PpHIS4 | PpADE2 | ARG4,forward,standalone_module,0.95,Pichia pastoris auxotrophic markers.
Mammalian drug selection,SEL-MAM-01,boundary_5,PGK promoter | SV40 promoter | TK promoter | EF-1α core promoter | EM7 promoter,forward,upstream_of:resistance_CDS,0.85,Weak constitutive promoters are typical for mammalian selection cassettes (strong promoters would overwhelm the payload). EM7 is special: a synthetic bacterial promoter often placed between a mammalian promoter and the marker so the same cassette works in both hosts.
Mammalian drug selection,SEL-MAM-02,presence,PuroR,forward,CDS; downstream_of:mammalian_promoter,0.95,Puromycin N-acetyltransferase (pac) — puromycin resistance. Fast selection (2-4 days). Very common.
Mammalian drug selection,SEL-MAM-03,presence,NeoR/KanR,forward,CDS; downstream_of:mammalian_promoter,0.9,Same CDS as bacterial KanR but driven by a mammalian promoter — gives G418 resistance in mammalian cells. The context (promoter identity) disambiguates bacterial vs. mammalian selection.
Mammalian drug selection,SEL-MAM-04,presence,HygR,forward,CDS; downstream_of:mammalian_promoter,0.92,Hygromycin resistance — slower selection than puro but usable alongside puro for dual selection.
Mammalian drug selection,SEL-MAM-05,presence,BSD,forward,CDS; downstream_of:mammalian_promoter,0.95,"Blasticidin S deaminase — blasticidin resistance. Small CDS (~400 bp), fast selection."
Mammalian drug selection,SEL-MAM-06,presence,ZeoR | BleoR,forward,CDS; downstream_of:mammalian_promoter,0.9,Zeocin resistance — works in mammalian cells when driven by a mammalian promoter or bifunctional cassette.
Mammalian drug selection,SEL-MAM-07,boundary_3,SV40 poly(A) signal | PGK poly(A) signal | HSV TK poly(A) signal | bGH poly(A) signal,forward,downstream_of:resistance_CDS,0.8,Short polyA signals are standard in selection cassettes; weaker than payload-grade polyAs are often used.
Mammalian drug selection,SEL-MAM-08,presence,EM7 promoter,forward,between:mammalian_promoter..resistance_CDS,0.9,"EM7 is a synthetic constitutive E. coli promoter. When present between a mammalian promoter and a selection marker, it creates a bifunctional cassette selectable in both E. coli and mammalian cells — diagnostic of lentiviral, AAV, and Gateway destination vectors."
Counter-selection,CSEL-01,presence,ccdB,forward,CDS,0.97,"CcdB DNA gyrase poison — kills standard E. coli; propagated only in ccdB-resistant strains (DB3.1, ccdB Survival). Used in Gateway destination vectors to select against empty vector."
Counter-selection,CSEL-02,presence,SacB | sacB neg,forward,CDS,0.95,Bacillus subtilis levansucrase — sucrose sensitivity in Gram-negatives. Classic counter-selection for allelic exchange in bacterial genetics.
Counter-selection,CSEL-03,presence,DTA,forward,CDS,0.95,Diphtheria toxin A chain — negative selection in mammalian cells; used in knock-in targeting vectors to kill random integrants.
Counter-selection,CSEL-04,presence,barnase,forward,CDS,0.9,Bacillus amyloliquefaciens RNase — toxic without its inhibitor (barstar). Used for counter-selection in plants and bacteria.
Counter-selection,CSEL-05,presence,codA,forward,CDS,0.9,E. coli cytosine deaminase — converts 5-fluorocytosine to 5-fluorouracil. Prodrug-based negative selection in mammalian cells.
Counter-selection,CSEL-06,presence,URA3,forward,CDS,0.4,URA3 is a positive auxotrophic marker but also a counter-selection marker via 5-FOA. Context-dependent — the same CDS serves both purposes.
Conjugation (oriT-based),CONJ-01,boundary_5,oriT | RSF1010 oriT,either,standalone_module; short:~250_bp,0.95,Origin of transfer (nic site) — minimum cis-requirement for conjugative mobilization. Small (~250 bp). Needs tra genes in trans from a helper plasmid.
Conjugation (oriT-based),CONJ-02,presence,traI | traJ | mob,forward,adjacent_to:oriT,0.8,Relaxase genes; if present on the same plasmid it is self-mobilizable rather than merely mobilizable.
Cre/loxP recombination,REC-CRE-01,boundary_5,loxP,forward,flanks:cargo,0.95,loxP site (34 bp) — the standard Cre recognition site. Two loxP sites in the same orientation flanking cargo = floxed/excisable cassette. Two in inverted orientation = invertible cassette.
Cre/loxP recombination,REC-CRE-02,boundary_3,loxP,forward,flanks:cargo; same_orientation_as:boundary_5,0.95,The second loxP completes the floxed cassette. Orientation relative to the 5' loxP determines mechanism: direct repeat → excision; inverted → inversion (flip-flop).
Cre/loxP recombination,REC-CRE-03,boundary_5_alt,lox2272 | loxN | lox5171 | loxP511 | loxH | loxJTZ17 | loxKR3,either,flanks:cargo,0.9,"Variant lox sites are mutually incompatible with wild-type loxP — used for multi-site recombination schemes (Brainbow, RMCE). Two sites of the same variant recombine but cross-variant recombination is disfavored."
Cre/loxP recombination,REC-CRE-04,presence,loxPsym,either,flanks:cargo,0.85,Symmetric loxP — recombination is orientation-independent. Used in synthetic genomics (SCRaMbLE).
Cre/loxP recombination,REC-CRE-05,presence,lox66 + lox71 | lox71/66,forward,flanks:cargo,0.9,lox66 and lox71 recombine to form a double-mutant lox72 that is a poor Cre substrate — one-way recombination for stable cassette integration.
FLP/FRT recombination,REC-FLP-01,boundary_5,FRT | FRT (minimal) | FRT (mutant),forward,flanks:cargo,0.95,FLP recognition target (48 bp minimal) — yeast S. cerevisiae-derived recombinase site. Two direct repeats → excision. Also used for RMCE with mutant FRTs.
FLP/FRT recombination,REC-FLP-02,boundary_3,FRT,forward,flanks:cargo; same_orientation_as:boundary_5,0.95,Second FRT completes the flippable cassette.
Gateway (λ att) recombination,REC-GW-01,boundary_5,attB1 | attL1 | attR1 | attP1,forward,flanks:cargo,0.95,"Gateway site 1 — the 5' boundary of a Gateway cassette. Site identity indicates stage: attB = PCR product, attL = entry clone, attR = destination vector, attP = donor vector. Pairs with site 2 at the 3' end."
Gateway (λ att) recombination,REC-GW-02,boundary_3,attB2 | attL2 | attR2 | attP2,forward,flanks:cargo; same_type_as:boundary_5,0.95,"Gateway site 2 — the 3' boundary. Must match the 5' site type (L-L, R-R, B-B, or P-P) for a coherent clone."
Gateway (λ att) recombination,REC-GW-03,presence_all,attR1 + ccdB + CmR + attR2,forward,order,0.98,The canonical Gateway destination vector cassette: attR1 → ccdB (counter-selection) → CmR (to maintain ccdB plasmid in DB3.1) → attR2. Diagnostic of a destination vector awaiting LR reaction.
Gateway (λ att) recombination,REC-GW-04,presence,attB3 | attB4 | attB5 | attB6 | attL3 | attL4 | attL5 | attL6 | attR3 | attR4 | attR5 | attR6 | attP3 | attP4 | attP5 | attP6,either,flanks:cargo,0.9,Multisite Gateway (MultiSite Gateway Pro) uses 3-6 orthogonal att pairs for multi-fragment assembly.
Integrase-mediated integration,REC-INT-01,presence,λ attP | λ attB | phage Φ80 attP | phage φ21 attP | phage φC31 attP | HK022 attP | phage 186 attP,either,standalone_site,0.9,Phage integrase attachment sites — used for single-copy integration into genomic attB landing pads in bacteria and (for φC31) mammalian cells.
Integrase-mediated integration,REC-INT-02,presence,λ integrase | phage φ80 integrase | HK022 integrase | phage φ21 integrase | phage φC31 integrase | phage 186 integrase,forward,same_module_or_plasmid,0.9,"The integrase enzyme itself; if encoded on the same plasmid, the construct is self-sufficient for integration."
MCS / polylinker,MCS-01,presence,MCS,either,between:promoter..terminator,0.9,"Multiple cloning site — a compact stretch of unique restriction sites for traditional cloning. Often between a promoter and terminator in expression vectors, or flanked by primer binding sites in cloning vectors."
MCS / polylinker,MCS-02,presence,lacZα | lacZ a,forward,containing:MCS,0.85,"α-complementation fragment of β-galactosidase — enables blue/white screening when the MCS is within lacZα and the host is lacZΔM15 (DH5α, XL1-Blue). Disruption of lacZα by an insert gives a white colony on X-gal."
MCS / polylinker,MCS-03,presence,M13 fwd | M13 rev | M13 pUC fwd primer | M13 pUC rev primer | M13 forward20 primer | M13 reverse primer | KS primer | SK primer | T7 Terminal primer | BGH rev primer | CMV fwd primer | pBAD fwd primer | pBAD rev primer | Sp6 primer | pGEX 3 primer,either,flanks:MCS,0.8,Standard sequencing primer binding sites flanking the MCS — allow Sanger sequencing of inserts without custom primers. Their presence flanking an MCS is nearly diagnostic of a cloning vector.
MCS / polylinker,MCS-04,presence_all,T7 promoter + MCS + T3 promoter | T7 promoter + MCS + SP6 promoter,forward,flanks:MCS; inverted,0.95,"Dual phage promoters flanking an MCS — enables in vitro transcription of either strand. Diagnostic of pBluescript, pGEM, pCR-Blunt, and similar cloning/IVT vectors."
Insulator,INS-01,boundary_5,5' β-globin insulator | cHS4,forward,flanks:expression_module,0.9,Chicken β-globin HS4 (cHS4) insulator — blocks enhancer-promoter interactions across module boundaries and protects against position-effect silencing. Often placed just inside LTRs in lentiviral vectors.
Insulator,INS-02,boundary_3,3' β-globin insulator | cHS4,forward,flanks:expression_module,0.9,Second insulator completing the insulated block.
Insulator,INS-03,presence,gypsy insulator,forward,flanks:expression_module,0.85,Drosophila gypsy insulator — used in insect transgenic systems and some mammalian contexts.
Insulator,INS-04,presence,UCOE,forward,upstream_of:promoter,0.85,"Ubiquitous chromatin opening element — keeps the adjacent promoter in an open chromatin state, resistant to silencing. Used in CHO cell line stable expression. Not in the reference CSV; rule included for completeness."
Sleeping Beauty transposon,TPN-SB-01,boundary_5,SB ITR (L) | Sleeping Beauty ITR (L),forward,flanks:cargo,0.95,Sleeping Beauty left inverted repeat/direct repeat (IR/DR). SB100X transposase recognizes these for cut-and-paste integration at TA dinucleotides. Not in the reference CSV as such; rule assumes custom annotation.
Sleeping Beauty transposon,TPN-SB-02,boundary_3,SB ITR (R) | Sleeping Beauty ITR (R),forward,flanks:cargo,0.95,SB right ITR/DR completing the transposon.
Sleeping Beauty transposon,TPN-SB-03,presence,SB100X,forward,same_plasmid_or_separate,0.9,SB100X hyperactive transposase — can be on the same plasmid (single-plasmid system) or co-delivered (two-plasmid).
PiggyBac transposon,TPN-PB-01,boundary_5,PB ITR (5') | PiggyBac ITR (5') | PB 5' TRD,forward,flanks:cargo,0.95,PiggyBac 5' terminal repeat domain. PB transposase integrates at TTAA sites without leaving a footprint after excision (seamless). Not explicitly in the reference CSV.
PiggyBac transposon,TPN-PB-02,boundary_3,PB ITR (3') | PiggyBac ITR (3') | PB 3' TRD,forward,flanks:cargo,0.95,PiggyBac 3' TRD. Cargo between the 5' and 3' TRDs is mobilized into TTAA target sites.
Tn5 / Tn7 transposons,TPN-TN5-01,boundary_5,Tn5 ME,either,flanks:cargo,0.9,Tn5 Mosaic End — recognized by Tn5 transposase for in vitro tagmentation (Nextera) or in vivo insertion. Two MEs in inverted orientation define the transposable element.
Tn5 / Tn7 transposons,TPN-TN7-01,boundary_5,Tn7L,forward,flanks:cargo,0.95,Tn7 left end — Tn7 transposase integrates the flanked cargo into the attTn7 site in the E. coli chromosome (or DH10Bac bacmid in Bac-to-Bac).
Tn5 / Tn7 transposons,TPN-TN7-02,boundary_3,Tn7R,forward,flanks:cargo; distance:<15kb,0.95,Tn7 right end. Tn7L/Tn7R flanking the payload is the defining signature of a Bac-to-Bac donor plasmid.
Tn5 / Tn7 transposons,TPN-P-01,boundary_5,P element 5' end,forward,flanks:cargo,0.95,Drosophila P element 5' inverted repeat — used for germ-line transformation in Drosophila.
Tn5 / Tn7 transposons,TPN-P-02,boundary_3,P element 3' end,forward,flanks:cargo,0.95,P element 3' inverted repeat.
Tet-On/Off regulator cassette,REG-TET-01,presence,tTA | tTA-Advanced | rtTA | rtTA-Advanced | rtTA3 | Tet-On® 3G,forward,downstream_of:constitutive_promoter,0.95,tTA = Tet-Off (active without doxycycline); rtTA = Tet-On (active with dox). These are VP16-TetR fusions that activate TRE-containing promoters. The regulator is typically on a separate cassette from the TRE-driven payload.
Tet-On/Off regulator cassette,REG-TET-02,presence,TetR | tet repressor,forward,downstream_of:constitutive_promoter,0.8,Wild-type TetR (no VP16 fusion) — represses tet operator-containing promoters in the absence of dox. Used in 'tet-off' repression systems without transactivation.
Tet-On/Off regulator cassette,REG-TET-03,presence,tTS,forward,downstream_of:constitutive_promoter,0.85,Tet transcriptional silencer — TetR-KRAB fusion for active repression in the absence of dox.
Gal4/UAS regulator cassette,REG-GAL-01,presence,GAL4 | GAL4 DNA binding domain + GAL4 activation domain,forward,downstream_of:tissue_specific_promoter,0.9,Gal4 or split Gal4 — activates UAS-containing promoters. Workhorse of Drosophila genetics (Gal4/UAS binary system) and yeast two-hybrid.
Gal4/UAS regulator cassette,REG-GAL-02,presence,UAS | 5X UAS,forward,upstream_of:minimal_promoter,0.9,Upstream Activation Sequence — Gal4 binding sites driving a responsive promoter.
Gal4/UAS regulator cassette,REG-GAL-03,presence,GAL80 | GAL80ts,forward,downstream_of:constitutive_promoter,0.85,Gal80 represses Gal4; temperature-sensitive Gal80ts enables thermal control of Gal4/UAS expression in Drosophila.
LexA regulator cassette,REG-LEX-01,presence,LexA | LexA BD,forward,n/a,0.85,LexA DNA binding domain — orthogonal to Gal4 for dual-system expression control. Pairs with lexA operator-containing promoters.
Auxin-inducible degradation (AID),REG-AID-01,presence_all,OsTIR1 + (AID | mini-AID),forward,typically_on_same_or_separate_plasmid,0.95,"OsTIR1 (F-box protein) hijacks the host SCF ubiquitin ligase to target AID-tagged proteins for degradation in the presence of auxin. Fast, reversible protein depletion in any eukaryote."
FKBP/FRB dimerization,REG-DIM-01,presence_all,FKBP + FRB,forward,typically_fused_to_target_proteins,0.9,Chemically inducible dimerization with rapamycin or rapalogs. FKBP and FRB are typically fused to different proteins to bring them together.
CRISPR editing,CRISPR-01,presence,Cas9 | dCas9 | SpCas9-HF1 | SpCas9-HF2 | SpCas9-HF4 | eSpCas9(1.1) | HypaCas9 | xCas9-3.6 | xCas9-3.7 | dxCas9(3.7) | evoCas9 | pcoCas9 | Cas9(D10A) | Cas9(H840A) | Cas9 VQR | Cas9 VRER | SaCas9 | St1Cas9 | St1dCas9 | NmCas9 | NmdCas9 | CjCas9 | ScCas9,forward,typically_downstream_of:mammalian_Pol_II_promoter,0.97,"Cas9 variants — the nuclease/nickase/dead effector. Variant identity indicates use case: dCas9 for CRISPRi/a/base editing, HF/esp/hypa for high-fidelity, xCas9/Cas9-VQR/VRER for expanded PAMs."
CRISPR editing,CRISPR-02,presence,LbCpf1 | AsCpf1 | Cas12 | LwCas13a | dLwCas13a | LshC2c2 | RfxCas13d,forward,typically_downstream_of:mammalian_Pol_II_promoter,0.95,Alternative CRISPR effectors: Cas12 (Cpf1) for T-rich PAMs and staggered cuts; Cas13 for RNA targeting.
CRISPR editing,CRISPR-03,presence_all,dCas9 + (VP64 | VP48 | VP96 | VP160 | p65 | Rta AD | p300 core | KRAB | KRAB-A | Mxi1 | DNMT3A | TET1 | MeCP2),forward,fused_in_frame,0.97,"dCas9 fused to an effector domain = CRISPRa (VP64/p65/Rta/p300), CRISPRi (KRAB/Mxi1), or epigenome editing (DNMT3A, TET1, MeCP2). Fusion architecture is diagnostic."
CRISPR editing,CRISPR-04,presence_all,Cas9(D10A) + (APOBEC-1 | APOBEC3A | PmCDA1 | TadA | TadA*(7.10) | TadA*(7.8) | TadA*(7.9) | TadA*(6.3)) + [UGI],forward,fused_in_frame; order:deaminase-Cas9n-UGI,0.98,Base editors: CBE = Cas9n + cytidine deaminase (APOBEC/PmCDA1) + UGI; ABE = Cas9n + TadA/TadA*. The specific combination is diagnostic of the editor class.
